ID Ticket AgID;Richiesta;Risposta;Note Integrative
6f6c5183e87548fb974dd9cb0146eca7;Se l'ET vuole richiedere nell'integrazione un documento non presente inizialmente nell'elenco dei documenti presentati, che modalità si deve usare per indicarlo al BO?;"Un ET può effettuare una richiesta di integrazione al BO riportando una o più motivazioni, identificate da un proprio resource_id, per segnalare quali documenti mancanti devono essere integrati. Tali motivazioni possono essere inviate effettuando un'unica richiesta cumulativa.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";"Richiedente
Quindi l'ET dovrà generare un resouce_id per ogni documento mancante e inserirli nell'oggetto integration_document_list nella chiamata al servizio /request_integration esposto dal BO?
Dovrà solo aver cura di indicare un valore differente dagli altri resouce_id collegati allo stesso CUI.UUID, per preservare l'univocità.
E' corretto?

Operatore
L'oggetto ""integration_document_list"" è un array di documenti di integrazione rilasciati da un ET.
Il ""resource_id"", come gli altri attributi ""requester_administration"", ""hash"" e ""alg_hash"", riportati all'interno di ogni record dell'array, forniscono le informazioni associate al documento di integrazione rilasciato dall'ET e non sui documenti per cui sta richiedendo effettuando tale richiesta.
Un ET deve fornire l'elenco delle integrazioni richieste utilizzando l'attributo ""integration_request"" (dichiarato come ""required"" nell'oggetto ""integration_list""), che risulta essere l'attributo creato per questo scopo, come indicato dalla sua descrizione nell'openAPI."
418edaf04895414dad127de2fb0c4892;"I processi di conformazione e integrazione sono sostanzialmente differenti, in quanto avete indicato che:
- per la conformazione: un Ente Terzo durante le istruttorie di propria competenza ha identificato degli aspetti non corretti ma conformabili e invia tale esito al BO indicando le sue segnalazioni di conformazione volte a sollecitare il presentatore a normalizzare ogni aspetto procedimentale.

Pertanto il processo si realizza con una chiamata di /send_conclusions da ET al BO con ConformationRequired e conclusions_type = conformation_requested.

- per l'integrazione: un ET coinvolto nelle istruttorie può identificare che determinate informazioni o documenti sono mancanti ma risultano essere necessari per procedere con l'istruttoria. Una richiesta di integrazione è volta a colmare tale mancanza e garantire quindi una corretta prosecuzione delle istruttorie.

Pertanto il processo si realizza con una chiamata di /request_integration da ET al BO.
Il tempo massimo consentito all'ET per fare richiesta di integrazione è: max_gg_int_req,
mentre il tempo massimo consentito al ""soggetto presentatore"" è: max_gg_int_resp.

Se tutto quanto scritto sopra è corretto, allora mancano due valori, analoghi al caso dell'integrazione, per indicare il numero massimo di giorni entro cui l'ET può trasmettere la conformazione ed entro cui il ""soggetto presentatore"" può conformare.
Anche questo aspetto fa parte delle modifiche in corso di lavorazione?";"Confermiamo le descrizioni riportate circa Integrazione e Conformazione.
Per quanto riguarda la richiesta di conformazione, un ET può indicare la data di scadenza concessa al presentatore utilizzando l'attributo ""date"" presente nell'oggetto ""ConformationRequired"". Diversamente,  il numero di giorni, a partire dallo start, entro cui un ET può richiedere una conformazione è definito nell'attributo ""max_gg_concl_send"", gestito nell'oggetto ""Times"" dell'Instance Descriptor, poichè tale richiesta risulta essere un esito degli ET elaborato a seguito delle loro istruttorie.
Invece, per quanto riguarda la richiesta di integrazione, il termine ultimo per inoltrare tale richiesta è espresso in numero di giorni ed è gestito all'interno dell'Instance Descriptor tramite l'attributo ""max_gg_int_resp"", definita nell'oggetto ""Times"".
 
Si segnala che sono attualmente in corso degli aggiornamenti in merito alla gestione delle conclusioni, tuttavia tali indicazioni risultano essere già disponibili nel branch ""approved01"".
 
Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.
 
 ";n.a.
e7ae640ccfad467b88d359d297e90c07;Se a valle di una istruttoria per una SCIA l'ET volesse fornire all'utente il codice autorizzazione che ha generato, attraverso una ricevuta (ad esempio un file PDF), poiché non possiamo inviare un esito positivo al BO, come lo potremmo comunicare?;"Come indicato nelle Specifiche Tecniche, nel paragrafo 6.1.1, per il regime amministrativo SCIA, un ET può adottare un motivato provvedimento di divieto di prosecuzione dell'attività, inviando quindi un parere negativo, o può invitare il soggetto presentatore a conformare l'attività entro un certo termine, con atto motivato, inviando qui una richiesta di conformazione.
Nel caso in cui un ET non riscontri difformità normative e, quindi, le sue istruttorie terminano con un esito positivo, le Specifiche Tecniche e i relativi workflow e sequence-diagram associati allo SCIA  non prevedono ulteriori azioni in carico all'ET e la pratica dovrà terminare con la conclusione dei tempi procedimentali (status: ended_by_proceeding_time_expired).

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
3ad374525e4e4947a77d20f051747ad9;"	
In caso l'operatore riscontri in fase di istruttoria che la pratica vada rigettata, quindi senza richieste di integrazione/conformazione, è possibile mandare subito un esito negativo chiamando il servizio /send_conclusions esposto dal BO?";"Un ET, valle delle proprie istruttorie, nel caso in cui accerti la carenza dei requisiti e dei presupposti richiesti, deve adottare un motivato provvedimento di divieto di prosecuzione dell'attività e di rimozione degli eventuali effetti dannosi della stessa, comunicando tale esito al BO tramite il path ""/send_conclusions"" inviando l'oggetto ""NegativeOutcomeRequired"" che prevede i seguenti attributi:
 - cui (codice unico dell'istanza)
 - conclusions_type: suspension_requested (tipologia di conclusione definita tramite un enum)
 - instance_descriptor_version (versione dell'Instance Descriptor)
 - negative_outcome_motivation (motivato provvedimento di divieto di prosecuzione dell'attività)
 - resource_id (id della risorsa per recuperare il documento associato alla richiesta di sospensione)
 - hash (hash della risorsa)
 - alg_hash (algoritmo applicato per generare l'hash)

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.

";n.a.
a30d3d982f1a4fe08f5928ae0c293a75;"Il nostro referente per l'ET ci ha espressamente detto che:
- la richiesta di conformare è utilizzata in caso di SCIA;
- la richiesta di integrazione è utilizzata per l'Autorizzazione e per la Comunicazione.

Tuttavia in una precedente mia richiesta (del 10/10/2024 ore 15:40) ci avete risposto che la Comunicazione e il Silenzio-assenso rientrano nella casistica SCIA.
Quindi vorremmo avere una risposta definitiva su quali tipologie di pratiche ammettano la conformazione e quali l'integrazione.";"Come indicato nelle Specifiche Tecniche, nel paragrafo 6.1.1, per il regime amministrativo SCIA, un ET può effettuare una richiesta di integrazione (send_integration) o può effettuare una richiesta di conformazione, in questo caso, gestendola tramite l'invio delle conclusioni (send_conclusions).
Analogamente, nel paragrago 6.1.2, per il regime amministrativo Autorizzazione/Domandand, un ET può inviare una richiesta di integrazione, tuttavia, non è previsto l'invio di una richiesta di conformazione.
Assunto quanto appena detto e tenuto in considerazione anche le normative legate ai regimi amministrativi, si afferma che:
 - per il regime amministrativo SCIA, un ET può inviare una richiesta di integrazione e una richiesta di conformazione;
 - per il regime amministrativo Comunicazione, che è riconducibile al workflow SCIA, un ET può effettuare richieste di integrazione e conformazione;
 - per il regime amministrativo Silenzio-assenso, che è riconducibile al workflow SCIA, un ET può effettuare  richieste di integrazione e conformazione;
 - per il regime amministrativo Autorizzazione, un ET può inviare solamente una richiesta di integrazione.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
d66947b2f2d04142b48e94af94f970fd;"Facendo riferimento all'openapi pubblicata su github branch approved_001
vorremmo un chiariemnto sulla risposta della api ""Recupero Sistema BackOffice di uno specifico Sportello SUAP""
/suap/{suap_id}/{suap_version}/backoffice-system
L'oggetto /components/schemas/BOSystemEntity che informazioni conterrà, per esempio cosa rappresenta e_service_to_fo?
Esiste una documentazione di dettaglio sulla semantica dei servizi CatalogoSSU_metadati?";"Il Catalogo SSU tramite il path ""/suap/{suap_id}/{suap_version}/backoffice-system"" permette il recupero della componente del BackOffice, riportando le informazioni associate ad esso e i riferimenti da utilizzare per contattarlo. 
Nel dettaglio, è possibile recuperare l'identificativo univoco della risorsa (id), la sua versione e la descrizione della componente BackOffice. Vengono riportare anche le informazioni in merito al suo stato di validità (state) e il periodo (start, end) e, infine, vengono forniti anche i punti di contatto tramite i quali è possibile richiamare i servizi esposti dalla componente (es. e_service_to_fo: riporta l'UUID del servizio sulla PDND esposto al FO dalla componente BO).

In merito all'ultimo quesito posto, si informa che attualmente non è disponibile alcuna documentazione di dettaglio sulla semantica dei servizi CatalogoSSU_metadati. Le openAPI pubblicate su GitHub e sulle Specifiche Tecniche rappresentano la documentazione tecnica dei servizi esposti dai componenti del sistema SSU. Tuttavia, si informa che il Gruppo Tecnico si è posto l'obiettivo di migliorare la comprensione degli artefatti tecnici e nel corso degli aggiornamenti verrano forniti maggiori dettagli sui servizi tramite descrizioni più parlanti ed esempi.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
964b43e122d34901b075999600615652;"Ticket aperto per conto di Starch s.r.l.:
""Buongiorno, tramite il nostro “Sponsor”, Comune di Prato, stiamo accedendo ai servizi SSU esposti su PDND, ambiente di test.
Per il momento stiamo accedendo ai servizi bulk per recuperare i metadata esposti dal sistema e capire, dati alla mano, le informazioni distribuite a livello centrale e le strutture dati con cui queste sono state organizzate. Vedendo i dati abbiamo diversi dubbi interpretativi su come questi sono organizzati, in particolare ci servirebbe capire bene le relazioni tra usecases-proceedings-endoprocedimenti.
Vorremmo anche capire se c'è un'organizzazione del dato che consenta di presentare all'utente le informazioni in maniera chiara, organizzata e strutturata. Attualmente abbiamo importato i dataset ritornati dalle bulk in un database relazionale, in modo da poterli interrogare e visionare in maniera semplice e veloce. Ci servirebbe però poterci confrontare, magari esaminando qualche caso specifico, sui dubbi che stiamo riscontrando e che le specifiche non chiariscono.""";"
Ai fini di una consultazione della struttura dei metadati gestiti dal Catalogo SSU, nella sezione 8.2 ""Metadati per istanziazione dei protocolli di comunicazione"" è presente  il modello E-R raffigurato nella Figura 13.
Nelle seguenti descrizioni, viene precisato che l'entità ""endoproceedings"" individua le fattispecie dei procedimenti amministrativi (usecase-proceedings) che possono (opzionale=false) o devono (opzionale=true) essere avviati in relazione alla fattispecie primaria.

Per eventuali dettagli più approfonditi in merito, la invitiamo a richiedere supporto ad Infocamere, tramite i suoi canali di assistenza, poichè, in qualità di gestore del Catalogo SSU.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
2cb003786a92451baea876a186f1fd80;"Nel nuovo sistema sarà possibile avere uno scenario in cui il BO comunica all'ET una pratica che contiene al suo interno più tipologie di iter da dover gestire?
Esempi:
subingresso + sospensione temporanea dell'attività;
trasferimento di sede + ampliamento dell'esercizio.";"Un procedimento amministrativo è caratterizzato da un attributo che determina l'evento della vita dell'attività (es. apertura), pertanto, può essere definito soltanto una delle tipologie menzionate nella richiesta.

Ai fini di una consultazione della struttura dei metadati gestiti dal Catalogo SSU, nella sezione 8.2 ""Metadati per istanziazione dei protocolli di comunicazione"" è presente  il modello E-R raffigurato nella Figura 13.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.
";n.a.
a6c4265c2c9e468babd06c1a2949257c;"Con riferimento al ticket ""Ente Terzo - SCIA con codice autorizzazione in ricevuta di output (PDF)"" del 30/10/2024 16:18,
ovvero:
""Se a valle di una istruttoria per una SCIA l'ET volesse fornire all'utente il codice autorizzazione che ha generato, attraverso una ricevuta (ad esempio un file PDF), poiché non possiamo inviare un esito positivo al BO, come lo potremmo comunicare?""

l'ET ci fa presente che per alcune casistiche ha assoluta necessità di inoltrare al cittadino che ha presentato la pratica il codice dell'autorizzazione collegata, poiché dovrà effettuare un pagamento utilizzando proprio quel codice.
In questi casi che prassi avete previsto?";"Le Specifiche Tecniche, come previsto dalle normative in caso di regime amministrativo SCIA, non prevedono l'invio di un esito positivo qualora non vengano riscontrate difformità.
Si suggerisce di gestire questa necessità specifica attraverso una comunicazione extra-sistema con il diretto interessato, al fine di comunicargli il codice da utilizzare per effettuare il pagamento. 

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
n.a.;Non essendoci ancora stata ufficialmente la firma degli Organi competenti per lo switch alla versione Approved 02 delle specifiche tecniche, le  Regioni temono di star dando un effort molto elevato su un qualcosa che potrebbe cambiare non essendo ancora stato approvato. Anche se il contenuto delle specifiche tecniche è già stato discusso e approvato in via ufficiosa nel mese di Aprile si sta lavorando ancora su una versione che ufficiale non è. In merito a ciò si è pensato si poter emettere una nota che approvi già in via preventiva che il contenuto delle specifiche tecniche non cambierà in corso di approvazione, nonostante manchino ancora le firme per l’ufficialità. Sempre in merito a questo tema, le Regione Friuli-Venezia Giulia fa notare che ci sono delle discrepanze tra la versione MAIN (attiva al momento) e la versione Approved_01: nonostante la versione MAIN delle ST non richieda come dati obbligatori lo “stato dell’istanza”, il “regime ammnistrativo” e i “tempi”, al momento dell’inserimento, il Sistema non permettere di procedere senza l’inserimento di questi dati, i quali, risultano essere obbligatori invece per la versione Approved_01. Data la mancanza di conformità evidenziata e la paura di star procedendo troppo per tentativi su una versione delle ST che non è quella ufficiale, è stata richiesta la possibilità di avere, o direttamente nelle specifiche tecniche o con un documento accessorio, un file che spieghi al meglio come funziona tutto il servizio;"Sulla base della news (https://www.suapsue.gov.it/news/?news_id=26) pubblicata dal DFP sul sito di progetto SUAP&SUE, si evidenzia che è da considerare come branch di riferimento ""approved01"".

Per quanto riguarda invece la richiesta di un documento accessorio, si precisa che le Specifiche Tecniche risultano essere l'unico documento tecnico ed è completo di ogni indicazione necessaria per l'interoperabilità tra le componenti del sistema SSU. Il repository GitHub (https://github.com/AgID/specifiche-tecniche-DPR-160-2010) ad esso associato permette una libera consultazione di tutti gli oggetti tecnici indicati nelle Specifiche. 
Cogliamo l'occasione per ricordare che AgID ha reso disponibile una piattaforma di Help Desk (https://www.agid.gov.it/it/notizie/e-online-il-servizio-di-help-desk-il-progetto-suap) dedicata alle Regioni e ai loro partner tecnologici al fine di dare risposte sugli eventuali dubbi delle Specifiche Tecniche. ";n.a.
n.a.;" Nel nuovo allegato tecnico DPR 160 c’è indicato uno schema che indica che il regime amministrativo (SCIA, ORDINARIO/AUTORIZZATIVO, Comunicazione) è in relazione uno a uno con un procedimento mentre nella funzionalità human oriented del catalogo SSU la relazione è tra il regime amministrativo e la fattispecie in relazione uno a uno.
Secondo noi la relazione corretta è quella indicata nel nuovo allegato tecnico. La relazione regime amministrativo <-vs-> fattispecie (caso d’uso) non è adeguata per tutti i casi in cui la domanda diventa una SCIA condizionata.
Facciamo un esempio:
Una fattispecie (caso d’uso) può prevedere procedimenti necessari e facoltativi e nel caso di un “Avvio esercizio di vicinato” la situazione potrebbe essere
a) i necessari saranno “Avvio esercizio di vicinato”;
b) i facoltativi (tutti quelli riportati nell’articolo 1.10 della TAB A del decreto 222/2016), nel nostro esempio prevediamo la necessità di attivare la “Vendita di oggetti preziosi”; L’ “avvio esercizio di vicinato” ha un regime amministrativo in SCIA e la “vendita di oggetti preziosi” ha un regime che è autorizzativo (come da allegato tecnico: corretta la relazione tra  rocedimento e regime) ma il regime del caso d’uso dipende da quali procedimenti facoltativi è necessario attivare quindi non è possibile prevedere un regime nel caso d’uso a meno che non si prevedano una molteplicità di casi d’uso nessuno dei quali deve prevedere procedimenti AUTORIZZATIVI facoltativi (bisognerebbe prevedere i casi: con con vendita oggetti preziosi e senza, con vendita alcolici e senza, con insegna e senza, vendita di oggetti preziosi con insegna e senza…).";"Durante le fasi di aggiornamento delle Specifiche Tecniche, il Gruppo Tecnico ha riscontrato la necessità di modificare la relazione associata ad un regime amministrativo, legando quest'ultimo alla fattispecie e non più al procedimento. La motivazione che ha spinto alla ridefinizione del modello ER del Catalogo è dovuta dal fatto che, come indicato nell'esempio posto nel quesito, gli endoprocedimenti attivati in un procedimento SUAP possono condizionare il regime amministrativo ad esso associato. Quindi, assumendo che vi siano più endoprocedimenti associati ad una fattispecie, il regime amministrativo del procedimento SUAP è determinato dalla fattispecie più condizionante, ovvero quella che richiede più azioni bloccanti per il presentatore. Interprentando di nuovo l'esempio riportato nella richiesta, applicando questa logica, considerato un procedimento che attiva la fattispecie ""Avvio esercizio di vicinato"", a cui sarà associato l'endoprocedimento (ovvero una fattispecie secondaria) ""Vendita di oggetti preziosi"", il regime amministrativo non sarà più SCIA (ovvero quello associato ad ""Avvio esercizio di vicinato"") ma diventerà Autorizzazione/Domanda. 

Si ricorda che le fattispecie sono utilizzate per: 
   - definire 1-a-1 i controlli Schematron da applicare per le verifiche automatiche, pertanto, il regime amministrativo deve essere associato a livello di fattispecie per garantire tali controlli;
   - registrare all'interno del Catalogo gli endoprocedimenti obbligatori per le stesse, ad esempio per ""Avvio esercizio di vicinato"", definendo la fattispecie ""Avvio esercizio di vicinato con vendita di oggetti preziosi"", si rende obbligatorio l'attivazione dell'endoprocedimento ""Vendita di oggetti preziosi"".

Per concludere, si coglie l'occasione di ringraziare per la segnalazione fornita poichè questa permetterà l'aggiornamento del diagramma ER del Catalogo SSU secondo quanto precisato precedentemente.";n.a.
n.a.;Relativamente al versionamento delle entità presenti nel catalogo come deve reagire una componente informatica alla pubblicazione di una nuova versione di una determinata entità? Esisterà un tempo per l’adeguamento e una data di kick-off per la messa in produzione da parte di tutti gli attori?;"Consultando il ""modello-concettuale-catalogo-SSU"" è possibile prendere visione di tutte le entità che vengono gestite dal Catalogo SSU. Queste possono essere suddivise in due categorie: Amministrative e Tecniche. Le entità Tecniche sono tutte quelle entità che hanno tra i suoi attributi il ""Riferimento Telematico"", ovvero tutte le entità che rappresentano i componenti informatici dei sistemi Enti Terzi, Front-Office e Back-Office. Le entità Amministrative sono le rimanenti, quindi tutte le entità che compongono i procedimenti amministrativi. In fondo,  viene riportata due liste di dettaglio per le due categorie descritte.

Per rispondere in merito alla strategia di pubblicazione/attuazione degli aggiornamenti delle suddette entità, si possono definire due strategie differenti:
 - Aggiornamento entità Amministrative: le entità che compongono i procedimenti amministrativi sono regolamentati dalle norme e i loro aggiornamenti non sono retroattivi, pertanto, tutti i procedimenti SUAP avviati prima di un certo aggiornamento, dovranno essere chiusi continuando ad utilizzare la versione adottata in fase di avvio. Differentemente, i nuovi procedimenti avviati a seguito di un rilascio dovranno seguire quanto indicato nel nuovo aggiornamento;
- Aggiornamento entità Tecniche: le  entità che rappresentano i componenti informatici, possono essere gestite liberamente secondo la libertà organizzativa delle amministrazioni, le quali dovranno definire le loro logiche di routing interno per reindirizzare le richieste ai componenti rilasciati, mantenendo unico il punto di contatto esposto alle altre amministrazioni.

Di seguito, la lista delle entità suddivise per categoria:
- Entità Amministrative:
   - Struttura Ente
   - Sportello SUAP
   - Procedimento
   - Fattispecie Procedimento
   - Endoprocedimento
   - Regime Amministrativo
   - Modulo
    - XSD
    - Schematron
    - Allegato

- Entità Tecniche:  
   - sistema FO
   - sistema BO
   - sistema ET
";n.a.
n.a.;"InstanceDescriptor – SUAP FO – dati obbligatori
Quali sono i dati obbligatori da popolare per eseguire la chiamata all’endpoint “request_cui” che la componente SUAP FO opera verso l’e-service dei metadati del Catalogo?";"Secondo quanto indicato nel branch ""approved01"" del repository GitHub (https://github.com/AgID/specifiche-tecniche-DPR-160-2010), il servizio ""/request_cui"" indicato nel ""catalogo-ssu_to_fo"" richiede come oggetto della richiesta l'""InstanceDescriptor"" che deve essere popolato con tre attributi obbligatori:
 - version
 - municipality
 - usecase_proceedings
Ad ogni modo, si raccomanda di valorizzare anche i seguenti campi che sono ritenuti essenziali per un procedimento:
 - times (vedi anche Quesito 5)
 - instance_status
 - administrative_regime
";n.a.
n.a.;"Dubbi sulle sezioni da popolare sull’instanceDescriptor relativamente alla chiamata all’endpoint “request_cui” che la componente SUAP FO opera verso l’e-service dei metadati del Catalogo :
a) Version: da chi deve essere popolata e come?
b) State: quale stato va specificato?
c) Times: vanno specificati in questa fase?
d) Administrative_regime: come deve essere calcolato?
e) Usecase_proceedings
i) Instance: cosa rappresenta ref?";"Di seguito si riportano le indicazioni in merito ai dubbi posti sugli attributi:
 - version: deve essere popolato dal FO, impostando una valore intero (Integer), peferibilmente 1, in fase di richiesta di associazione del CUI effettuato al Catalogo;
 - state: tale attributo risulta essere un sotto-attributo di ""instance_status"". Il  valore  da associare in questo momento ad un InstanceDescriptor è lo stato ""started"". Tutti gli stati possibili sono indicati all'interno di ""instance-descriptor-schema.yaml"" presente nel repository GitHub (https://github.com/AgID/specifiche-tecniche-DPR-160-2010);
 - times: malgrado non sia stato indicato attualmente come un attributo obbligatorio (required), si suggerisce di popolare tale attributo fin dall'inizio;
 - administrative_regime: tale attributo richiede un oggetto composto da due attributi obbligatori: id e version. L'id rappresenta l'identificativo univoco del regime amministrativo che può assumere quattro possibili valori (inidicati tramite enum): SCIA, AUTORIZZAZIONE, SILENZIO-ASSENSO, COMUNICAZIONE. La version invece è una stringa che deve rispettare un pattern specifico ([0-9]{2}.[0-9]{2}.[0-9]{2}), ovvero tre coppie di numeri separati da un punto, ad esempio: 00.00.00;
 - usecase_proceedings: tale attributo definisce una lista di fattispecie dei procedimenti avviati tramite il procedimento SUAP. All'interno dell'""instance-descriptor-schema"" è possibile prendere visione dei vari attributi che lo caratterizzano;
 - instance: l'attributo ""ref"" rappresenta il riferimento all'elemento dell'istanza relativo al procedimento. Tale valore deve essere utilizzato per ottenere il relativo ""resource_id"", presente all'interno dell'""instance-index (instance-index-schema), necessario per il recupero del documento di interesse tramite il servizio ""/instance/{cui_uuid}/document/{resource_id}"" (vedi anche Quesito 7).";n.a.
n.a.;"Nell’xsd del form scaricato dal catalogo la gestione dei pagamenti è presente solo come allegato. Come avete pensato di gestire la gestione dei pagamenti sia lato
SUAP FO che lato SUAP BO?";"Si precisa che la tematica non è trattata all'interno delle Specifiche, considerato che le stesse afferiscono alla sola interoperabilità tra i componenti, mentre il quesito posto è relativo al comportamento della UX della componente FO.
";n.a.
n.a.;"InstanceIndex – SUAP FO - popolamento
Dubbi sul popolamento dell’oggetto InstanceIndex relativamente alla chiamata all’endpoint send_instance che la componente SUAP FO opera verso l’e-service della componente SUAP BO.
La proprietà ref (riportata qui sotto) cosa rappresenta e come va popolata?
ref:
""$id"": ""#root/ref""
title: riferimento all'elemento dell'istanza relativo al procedimento
type: string
minLength: 1";"L'attributo ""ref"", indicato nell'InstanceDescriptor, rappresenta il riferimento all'elemento dell'istanza relativo al procedimento. Tale valore deve essere utilizzato per identificare il relativo ""resource_id"" presente all'interno dell'""instance-index (instance-index-schema), necessario per il recupero del documento di interesse tramite il servizio ""/instance/{cui_uuid}/document/{resource_id}"".

Vedi anche Quesito 5";n.a.
n.a.;"come trattare, in caso di procedimento autorizzatorio e SCIA, la disarmonia tra i termini del procedimento unico (definito all’avvio della pratica dal timer ""t_a finire"") con quelli dell’endo procedimento nei casi di richieste di integrazione da parte dell’ente terzo x che nelle specifiche non è definito ? Il tempo che passa, infatti, dal momento in cui l'OPS SUAP riceve la richiesta di integrazione della pratica da parte dell'ente terzo (questa azione interrompe i termini dell’endo) ed il momento in cui, invece, l’OPS sospende i termini del procedimento unico + il lasso di tempo che intercorre dal momento in cui l'OPS riceve l'integrazione dall'impresa fino al momento in cui questo notifica l'ente terzo di tale integrazione, crea appunto uno slittamento di tempistiche che non rende più coerente il tempo massimo di gestione dell'endoprocedimento (e quindi lo scattare del silenzio
assenso o di un riscontro nei termini massimi) con quello del macroprocedimento. Più in generale quale deve essere l’effetto di una sospensione dei tempi dell'endoprocedimento sulle tempistiche più generali del procedimento unico dato che nelle specifiche il timer del procedimento generale si interrompe solo su disposizione dello sportellista ? il caso limite (con conseguenze negative) che potrebbe capitare potrebbe essere quello in cui il silenzio assenso di un endoprocedimento arrivi allo sportellista quando il tempo massimo del procedimento unico è già scaduto (vedere immagine). 

Sempre nel caso di richieste di integrazioni da parte degli enti terzi, come trattare il caso il caso in cui i termini di decorrenza di una richiesta di parere (quindi parliamo di un endoprocedimento) scattano dal momento della trasmissione della richiesta di parere da parte del SUAP all'Ente Terzo (caso di molte leggi regionali della sismica o di prassi per i VVF) che prevedono che i termini relativi ai controlli o al rilascio delle autorizzazioni sismiche da parte del Genio Civile si avviano dal momento della ricezione della pratica al Servizio tecnico del genio Civile (e non dal momento della ricezione della pratica al SUAP) ? 

Come trattare il caso in cui i termini di decorrenza di una richiesta di parere (quindi parliamo di un endoprocedimento), invece che essere sospesi, si
interrompono (cioè il timer dell’endo procedimento riparte da zero) a seguito di una richiesta di integrazione di una pratica da parte dell’ente terzo (caso di alcune leggi regionali della sismica) ?";"Nel momento in cui un ET effettua una richiesta di integrazione della pratica, il BO inoltra tale richiesta al FO, con l'obiettivo di recapitarla al presentatore. Quanto descritto comporta una sospensione dei tempi procedimentali nel momento in cui il BO inoltra la richiesta di integrazione al FO. Pertanto, il BO effettua un aggiornamento dei tempi procedimentali al Catalogo SSU, aumentando tali tempi pari al numero di giorni concessi al presentatore per effettuare l'integrazione. La ricezione della documentazione di integrazione comporta una secondo aggiornamento dei tempi, rimuovendo i giorni non utilizzati dal presentatore per rispondere all'integrazione.

Facendo un esempio: dato un procedimento che ha un tempo T=30, al giorno 3 il BO riceve la richiesta di integrazione da parte dell'ET. Al giorno 14 viene inviata la richiesta di integrazione al FO, comportando una aggiornamento dei tempi pari a +15 giorni  (quindi T=45), ovvero il tempo massimo concesso per effettuare l'integrazione. Il FO inoltra la documentaizione integrata dopo 10 giorni, ovvero al giorno 24. Il presentatore, dei 15 giorni concessi, ha usufruito di 10 giorni per rispondere alla richiesta, pertanto, i 5 giorni extra verrano tolti dal tempo T che diventerà uguale a 40. 
Adottando questa strategia, durante il tempo di integrazione non vengono persi i giorni concessi al SUAP e agli ET per analizzare e lavorare un procedimento e tale informazione è sempre disponibile a tutti i componenti, dato che viene aggiornato l'attributo ""times"" dell'InstanceDescriptor gestito dal Catalogo SSU. 

All'interno dell'oggetto Times sono riportati diversi attributi che definiscono il massimo numero di giorni concessi per effettuare determinate azioni. In questo caso particolare, bisogna soffermarsi sull'attributo ""max_gg_concl_send"", che definisce il numero di giorni limite a partire dall'avvio del procedimento per l'inoltro delle conclusioni da parte degli enti terzi. Le Specifiche Tecniche non prevedono un timer dal momento in cui viene inviata l'instanza all'ET ma viene definito a monte il giorno limite entro il quale tutti gli ET devono inviare il loro parere al BO. 
Assumendo quanto indicato precedentemente, non è previsto un ""reset"" dei tempi concessi all'ET per inoltrare il nuovo esito a seguito di una ricezione di integrazione.";n.a.
